Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Trigger Stopping!
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
0 SF: 0.001368 
Go 0 SpeedFac:0.001368 DistDiff:-168.000000 
1 SF: 0.001642 
Go 1 SpeedFac:0.001642 DistDiff:-168.000000 
2 SF: 0.001906 
Go 2 SpeedFac:0.001906 DistDiff:-168.000000 
3 SF: 0.002158 
Go 3 SpeedFac:0.002158 DistDiff:-168.000000 
0 SF: 0.002754 
1 SF: 0.002866 
2 SF: 0.002974 
3 SF: 0.003076 
0 SF: 0.004132 
1 SF: 0.004242 
2 SF: 0.004348 
3 SF: 0.004446 
0 SF: 0.005502 
1 SF: 0.005606 
2 SF: 0.005714 
3 SF: 0.005816 
0 SF: 0.006870 
1 SF: 0.006976 
2 SF: 0.007086 
3 SF: 0.007186 
0 SF: 0.008242 
1 SF: 0.008348 
2 SF: 0.008456 
3 SF: 0.008556 
0 SF: 0.009610 
1 SF: 0.009716 
2 SF: 0.009824 
3 SF: 0.009922 
0 SF: 0.010982 
1 SF: 0.011090 
2 SF: 0.011198 
3 SF: 0.011302 
0 SF: 0.012352 
1 SF: 0.012484 
2 SF: 0.012604 
3 SF: 0.012712 
0 SF: 0.013740 
1 SF: 0.013856 
2 SF: 0.013974 
3 SF: 0.014084 
0 SF: 0.015118 
1 SF: 0.015240 
2 SF: 0.015366 
3 SF: 0.015488 
0 SF: 0.016496 
1 SF: 0.016614 
2 SF: 0.016728 
3 SF: 0.016840 
0 SF: 0.017874 
1 SF: 0.017996 
2 SF: 0.018122 
3 SF: 0.018232 
0 SF: 0.019248 
1 SF: 0.019368 
2 SF: 0.019486 
3 SF: 0.019600 
0 SF: 0.020628 
1 SF: 0.020744 
2 SF: 0.020870 
3 SF: 0.020982 
0 SF: 0.022000 
1 SF: 0.022120 
2 SF: 0.022248 
3 SF: 0.022378 
0 SF: 0.023374 
1 SF: 0.023500 
2 SF: 0.023614 
3 SF: 0.023732 
0 SF: 0.024756 
1 SF: 0.024876 
2 SF: 0.025002 
3 SF: 0.025114 
0 SF: 0.026132 
1 SF: 0.026258 
2 SF: 0.026374 
3 SF: 0.026494 
0 SF: 0.027514 
1 SF: 0.027632 
2 SF: 0.027758 
3 SF: 0.027874 
0 SF: 0.028894 
1 SF: 0.029018 
2 SF: 0.029138 
3 SF: 0.029256 
0 SF: 0.030270 
1 SF: 0.030396 
2 SF: 0.030520 
3 SF: 0.030634 
0 SF: 0.031660 
1 SF: 0.031786 
2 SF: 0.031918 
3 SF: 0.032046 
0 SF: 0.033362 
1 SF: 0.033490 
2 SF: 0.033620 
3 SF: 0.033738 
0 SF: 0.035080 
