Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
Go 0 SpeedFac:0.015625 DistDiff:0.000000 
id: 0, steps per second: 949, TSTEP: 761
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 761
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 761
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 1000, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 1000, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 999, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
Stopping: 0 Dist Diff: 0.0000 
Stopped 0 
id: 0, steps per second: 492, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 0, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 0, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 0, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 0, TSTEP: 760
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
