id: 0, steps per second: 292, TSTEP: 41734
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 291, TSTEP: 41716
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 292, TSTEP: 41728
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 292, TSTEP: 41734
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 292, TSTEP: 41728
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 292, TSTEP: 41740
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 291, TSTEP: 41729
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 292, TSTEP: 41744
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
id: 0, steps per second: 291, TSTEP: 41730
id: 1, steps per second: 0, TSTEP: 0
id: 2, steps per second: 0, TSTEP: 0
id: 3, steps per second: 0, TSTEP: 0
