[CONTINUES] id: 0, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps[CONTINUES] id: 0, steps per second: 13019, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13023, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13021, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13020, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13023, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13023, RPM: 195.4681
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 12914, RPM: 146.0288
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 8600, RPM: 121.6022
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 7325, RPM: 97.6150
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 5257, RPM: 68.5557
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 3637, RPM: 48.5786
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 2458, RPM: 35.6695
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 2375, RPM: 35.6695
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 2375, RPM: 35.6695
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 2386, RPM: 36.2371
