Stopping: 0 Dist Diff: 0.0000 
Stopping: 1 Dist Diff: 0.0000 
Stopping: 2 Dist Diff: 0.0000 
Stopping: 3 Dist Diff: 0.0000 
Stopped 0 
Stopped 1 
Stopped 2 
Stopped 3 
[CONTINUES] id: 0, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
Go 0 SpeedFac:0.000961 DistDiff:0.000000 
[CONTINUES] id: 0, steps per second: 409, RPM: 33.0510
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 5385, RPM: 132.2957
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 11073, RPM: 202.0417
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 14827, RPM: 244.0467
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 13627, RPM: 111.3298
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 775, RPM: 0.0005
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 12735, RPM: 21.3687
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 4904, RPM: 119.9176
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 10469, RPM: 191.8791
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 8670, RPM: 112.4834
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 8008, RPM: 96.3699
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 8879, RPM: 43.0854
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 2006, RPM: 153.8659
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 0, steps per second: 9461, RPM: 90.0893
[CONTINUES] id: 1, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 2, steps per second: 0, RPM: 0.0000
[CONTINUES] id: 3, steps per second: 0, RPM: 0.0000
